房地产业单位从劳动报酬增速,26.9,43.3,42.1,42.1,32,37.6,48.9,48.9,42.8,46.8,47.2,47.2,38.4,33.4,31.8,60.3,88.8,56.8,47.6,34.1,20.6,18.3,17.6,17.6,15.1,15.8,13,13,15.1,15.5,13.6,13.6,14.1,14.5
铁路运输总周转量增速,7.2,8.3,7,6,0,-0.3,-0.3,0.3,-1.5,-1.7,-2.5,-3.6,-3.4,-5,-2,-1.7,-2.8,-0.6,-1.1,-1.2,-6.3,-0.5,-6.3,-0.7,-2,-0.9,0.5,1.6,6.3,6.9,6.4,5.9,1.7,1.1
公路运输总周转量增速,17,15.4,16.3,17.6,21.2,21.9,22.4,22.3,16.8,17.2,18,18.7,18.2,17.8,16.1,16,13.95,11.9,13.1,12.8,7.8,5.5,0.6,-1.5,0.1,2,2.9,3.7,1.2,3.6,4.4,4.9,3,4
水上运输总周转量增速,13.6,10.8,5.5,3.1,31,20.3,19.3,16.8,-3,15.7,21.8,23.1,26.1,16.5,13.2,14.3,10.4,6.5,8.1,7.8,11.7,12.2,10,9.7,21.5,9.6,6.8,7,13.3,9.5,6.3,4.9,-5.6,-5.5
航空运输总周转量增速,33.7,33.1,29.9,26.3,8,7,6.4,5.8,3.4,4.3,4.1,4.2,9.1,9.8,9.8,9.7,10.25,10.8,10.4,10.8,14,14.3,14,13.5,11.9,12.1,12.2,12.2,12.7,12.4,12.2,12.3,12.9,12.9
税收收入,34.8,34.9,31.6,37.7,49.4,41,38.1,27.9,15.3,13.6,15.3,17.8,16.4,15,14.8,16.5,20.4,16.7,14.4,11.3,0.8,4.9,6.5,6.3,12.2,8.4,4.9,3,1.1,3.9,7.1,6.1,16.6,15.1
工  业,23.5,21.8,20.5,21.9,19.3,19.4,20,19.6,16.3,15.8,14.7,15.3,13.7,13.6,13.3,13.3,12.5,11.8,11,10.8,8.9,8.6,8.6,8.5,8.4,8.4,8.5,8.7,8.3,8.5,8.7,8.9,8.5,8.8
建筑业,17.9,16.6,15.2,13.6,11,10.1,9.6,9.3,12.5,10.4,10.8,9.1,11.2,9,7.1,6.7,2.8,4.5,5.2,7.1,7.4,8.5,9.2,8.6,8.7,7.8,5.8,5.7,7.7,6.9,7,6.8,6.6,6.1
金融保险业,15.6,8.1,8.6,7.9,10,8.1,6,5.5,15,13.4,15.2,16.5,11,13.2,16.9,17.5,13.4,14.2,12.9,13.6,19.5,20.9,19.6,19.5,17.9,13.6,14,15.1,14.9,13.9,11,10.9,6.3,5.9
房地产业,2.5,7.4,5.2,0.3,8.3,2.2,9.5,7.4,2.2,3.6,4,5.7,11.1,11.8,12.3,12.2,7.5,5.9,4.7,3.8,-0.2,1.8,2.7,2.6,8.3,13,14.6,12,7.6,5.7,4.2,4.7,6.2,6
其他服务业,3.4,12,12,11.3,10.9,10.9,12.3,10.7,9.1,9.8,11.2,11.8,7.9,8.4,7.4,7.9,5.3,7.3,7.8,9.7,10,13,14.3,14.8,11.6,11.9,12.5,13,10.9,12.4,12,13.5,13.1,13.5
农林牧渔业,4.5,4.5,4.8,4.5,2.3,3,3,4,3.1,4.3,5.1,5.5,4,3,3.6,3.5,3.6,3.9,4.5,4.7,3.9,3.4,4,4.3,3.3,2.9,3.2,3.4,3,3.1,3.5,4.2,3.9,3.8
地区生产总值,14.9,15.4,14.7,14.5,13.8,13.4,14.3,13.5,12.3,12,12,12.1,11.2,10.9,10.7,10.4,9.6,9.3,9.1,9.2,8.6,8.6,8.7,8.7,8.6,8.6,8.7,8.7,8.4,8.5,8.3,8.5,8.1,8.3
