"",".rownames","t","y",".fitted",".se.fit",".resids",".std.resid",".conf.low",".conf.up"
"34","规模以上工业增加值增速",34,NA,8.035847628765,1.06547848302776,0,NA,5.94754817572822,10.1241470818018
"68","社会消费品零售总额",34,NA,11.3801325492778,0.629592304824029,0,NA,10.1461543068791,12.6141107916764
"102","全部财政收入",34,NA,17.2529403031881,3.101279051716,0,NA,11.1745450558162,23.33133555056
"136","财政支出",34,NA,14.5827534316188,6.83739826809572,0,NA,1.18169907819462,27.9838077850429
"170","进出口总额",34,NA,34.7509759227987,14.2461408463624,0,NA,6.8290529452434,62.6728989003541
"204","出口额",34,NA,21.6425916317199,19.3485010458908,0,NA,-16.2797735730616,59.5649568365014
"238","进口额",34,NA,51.8048671924959,13.5939113258049,0,NA,25.1612905848871,78.4484438001047
"272","固定资产投资额",34,NA,10.8835255571492,1.47696616977073,0,NA,7.9887250580145,13.7783260562839
"306","固定资产投资额其中第一产业",34,NA,33.9380169245133,20.3519065999241,0,NA,-5.95098702806087,73.8270208770876
"340","固定资产投资额其中第二产业",34,NA,11.5789399628592,3.47899443087539,0,NA,4.76023617592804,18.3976437497904
"374","固定资产投资额其中第三产业",34,NA,9.88114484498097,3.78526022532235,0,NA,2.4621711312372,17.3001185587247
"408","固定资产投资额其中房地产开发",34,NA,22.4049256363708,4.61810038990571,0,NA,13.3536151951653,31.4562360775764
"442","城镇常住居民人均可支配收入",34,NA,8.65101143821651,1.22927815375549,0,NA,6.24167052987386,11.0603523465592
"476","农村常住居民人均可支配收入",34,NA,9.95369715603173,1.74573299147936,0,NA,6.5321233661088,13.3752709459547
"510","居民价格消费指数",34,NA,2.03439801110773,0.649800152297958,0,NA,0.760813115455095,3.30798290676037
"544","金融机构人民币存贷款余额增速",34,NA,11.4613829000922,1.54746649712772,0,NA,8.42840429843952,14.4943615017449
"578","建筑业现价增长速度",34,NA,13.3924456451126,1.95812186398176,0,NA,9.55459731436792,17.2302939758573
"612","商品房销售面积增速",34,NA,9.31832927096994,12.4970672889932,0,NA,-15.1754725278304,33.8121310697702
"646","房地产业单位从业人员增速",34,NA,6.90232780175068,5.90530134577182,0,NA,-4.67185015381799,18.4765057573194
"680","房地产业单位从劳动报酬增速",34,NA,13.6996482610167,10.7472096135392,0,NA,-7.36449551582282,34.7637920378563
"714","铁路运输总周转量增速",34,NA,1.54445509445642,2.65363543481319,0,NA,-3.65657478587671,6.74548497478955
"748","公路运输总周转量增速",34,NA,2.57254918047926,2.06814275139297,0,NA,-1.48093612713852,6.62603448809705
"782","水上运输总周转量增速",34,NA,-6.19595363718956,8.42429486921546,0,NA,-22.7072681759974,10.3153609016183
"816","航空运输总周转量增速",34,NA,12.2469725584176,3.45341149456514,0,NA,5.47841040527333,19.0155347115619
"850","税收收入",34,NA,16.0196302679202,5.24352925545727,0,NA,5.74250177534188,26.2967587604986
